Tm,W,L,W-L%,GB,RS,RA,pythW-L%,dt
MIL,74,48,0.607,4.5,567,454,0.6,2021-08-19
SDP,68,56,0.548,11.5,586,502,0.57,2021-08-19
CIN,66,57,0.537,13.0,622,590,0.524,2021-08-19
ATL,65,57,0.533,13.5,605,520,0.569,2021-08-19
STL,62,58,0.517,15.5,494,515,0.481,2021-08-19
PHI,61,60,0.504,17.0,539,564,0.479,2021-08-19
NYM,61,61,0.5,17.5,463,489,0.475,2021-08-19
COL,55,66,0.455,23.0,545,585,0.468,2021-08-19
CHC,54,69,0.439,25.0,512,600,0.428,2021-08-19
WSN,52,68,0.433,25.5,532,580,0.461,2021-08-19
MIA,51,72,0.415,28.0,496,525,0.474,2021-08-19
PIT,42,79,0.347,36.0,431,622,0.338,2021-08-19
ARI,41,81,0.336,37.5,510,676,0.374,2021-08-19
TBR,75,47,0.615,--,642,503,0.61,2021-08-19
HOU,71,50,0.587,3.5,642,478,0.632,2021-08-19
CHW,71,51,0.582,4.0,606,468,0.616,2021-08-19
NYY,70,52,0.574,5.0,520,491,0.526,2021-08-19
OAK,69,53,0.566,6.0,551,481,0.562,2021-08-19
BOS,69,54,0.561,6.5,611,559,0.541,2021-08-19
SEA,66,56,0.541,9.0,513,555,0.464,2021-08-19
TOR,63,56,0.529,10.5,615,497,0.596,2021-08-19
LAA,62,61,0.504,13.5,563,605,0.467,2021-08-19
CLE,58,61,0.487,15.5,519,553,0.471,2021-08-19
DET,58,65,0.472,17.5,541,604,0.45,2021-08-19
MIN,54,68,0.443,21.0,565,641,0.443,2021-08-19
KCR,52,68,0.433,22.0,489,598,0.409,2021-08-19
TEX,42,79,0.347,32.5,455,602,0.375,2021-08-19
BAL,38,82,0.317,36.0,481,708,0.33,2021-08-19
SFG,78,44,0.639,--,595,455,0.62,2021-08-20
LAD,77,46,0.626,1.5,641,433,0.672,2021-08-20
MIL,74,49,0.602,4.5,568,458,0.597,2021-08-20
SDP,68,57,0.544,11.5,589,506,0.569,2021-08-20
CIN,67,57,0.54,12.0,627,593,0.525,2021-08-20
ATL,66,57,0.537,12.5,608,520,0.571,2021-08-20
STL,62,59,0.512,15.5,494,519,0.477,2021-08-20
PHI,62,60,0.508,16.0,543,567,0.48,2021-08-20
NYM,61,62,0.496,17.5,465,492,0.474,2021-08-20
COL,56,66,0.459,22.0,554,589,0.472,2021-08-20
WSN,53,68,0.438,24.5,536,581,0.463,2021-08-20
CHC,54,70,0.435,25.0,514,606,0.425,2021-08-20
MIA,51,73,0.411,28.0,499,530,0.472,2021-08-20
PIT,43,79,0.352,35.0,435,622,0.342,2021-08-20
ARI,41,82,0.333,37.5,514,685,0.372,2021-08-20
TBR,75,48,0.61,--,647,510,0.607,2021-08-20
HOU,72,50,0.59,2.5,654,481,0.637,2021-08-20
CHW,72,51,0.585,3.0,613,473,0.616,2021-08-20
NYY,71,52,0.577,4.0,530,493,0.533,2021-08-20
OAK,70,53,0.569,5.0,555,482,0.564,2021-08-20
BOS,70,54,0.565,5.5,617,559,0.545,2021-08-20
SEA,66,57,0.537,9.0,516,567,0.457,2021-08-20
TOR,63,57,0.525,10.5,616,501,0.593,2021-08-20
LAA,62,62,0.5,13.5,564,614,0.461,2021-08-20
CLE,59,61,0.492,14.5,528,554,0.478,2021-08-20
DET,59,65,0.476,16.5,545,605,0.452,2021-08-20
KCR,53,68,0.438,21.0,495,600,0.413,2021-08-20
MIN,54,69,0.439,21.0,567,651,0.437,2021-08-20
TEX,42,80,0.344,32.5,455,608,0.37,2021-08-20
BAL,38,83,0.314,36.0,481,711,0.328,2021-08-20
SFG,79,44,0.642,--,601,460,0.62,2021-08-21
LAD,78,46,0.629,1.5,645,436,0.672,2021-08-21
MIL,75,49,0.605,4.5,577,464,0.598,2021-08-21
SDP,69,57,0.548,11.5,593,509,0.569,2021-08-21
CIN,68,57,0.544,12.0,634,597,0.527,2021-08-21
ATL,67,57,0.54,12.5,613,524,0.571,2021-08-21
STL,62,60,0.508,16.5,498,524,0.477,2021-08-21
PHI,62,61,0.504,17.0,546,571,0.48,2021-08-21
NYM,61,63,0.492,18.5,468,496,0.473,2021-08-21
COL,57,66,0.463,22.0,559,591,0.475,2021-08-21
WSN,53,69,0.434,25.5,542,590,0.461,2021-08-21
CHC,54,71,0.432,26.0,516,610,0.424,2021-08-21
MIA,51,74,0.408,29.0,503,537,0.47,2021-08-21
PIT,44,79,0.358,35.0,440,626,0.344,2021-08-21
ARI,41,83,0.331,38.5,516,690,0.37,2021-08-21
TBR,76,48,0.613,--,655,514,0.609,2021-08-21
HOU,73,50,0.593,2.5,669,482,0.646,2021-08-21
CHW,72,52,0.581,4.0,617,481,0.612,2021-08-21
NYY,72,52,0.581,4.0,537,494,0.538,2021-08-21
OAK,70,54,0.565,6.0,560,488,0.563,2021-08-21
BOS,70,55,0.56,6.5,618,569,0.538,2021-08-21
SEA,66,58,0.532,10.0,517,582,0.446,2021-08-21
TOR,64,57,0.529,10.5,619,501,0.596,2021-08-21
CLE,60,61,0.496,14.5,533,555,0.482,2021-08-21
LAA,62,63,0.496,14.5,565,619,0.458,2021-08-21
DET,59,66,0.472,17.5,545,608,0.45,2021-08-21
KCR,54,68,0.443,21.0,499,602,0.415,2021-08-21
MIN,54,70,0.435,22.0,568,658,0.433,2021-08-21
TEX,43,80,0.35,32.5,465,609,0.379,2021-08-21
BAL,38,84,0.311,37.0,485,716,0.329,2021-08-21
SFG,80,44,0.645,--,603,461,0.62,2021-08-22
LAD,78,47,0.624,2.5,647,443,0.667,2021-08-22
MIL,76,49,0.608,4.5,584,467,0.601,2021-08-22
CIN,69,57,0.548,12.0,637,598,0.529,2021-08-22
SDP,69,58,0.543,12.5,597,516,0.566,2021-08-22
ATL,68,57,0.544,12.5,616,525,0.573,2021-08-22
STL,63,60,0.512,16.5,501,524,0.479,2021-08-22
PHI,63,61,0.508,17.0,553,575,0.482,2021-08-22
NYM,62,63,0.496,18.5,475,498,0.478,2021-08-22
COL,57,67,0.46,23.0,563,599,0.472,2021-08-22
WSN,53,70,0.431,26.5,545,597,0.458,2021-08-22
CHC,54,72,0.429,27.0,517,619,0.418,2021-08-22
MIA,51,75,0.405,30.0,504,540,0.468,2021-08-22
PIT,44,80,0.355,36.0,440,629,0.342,2021-08-22
ARI,42,83,0.336,38.5,524,694,0.374,2021-08-22
TBR,77,48,0.616,--,664,514,0.615,2021-08-22
HOU,73,51,0.589,3.5,672,488,0.642,2021-08-22
NYY,72,52,0.581,4.5,537,494,0.538,2021-08-22
CHW,72,53,0.576,5.0,617,490,0.604,2021-08-22
BOS,70,55,0.56,7.0,618,569,0.538,2021-08-22
OAK,70,55,0.56,7.0,561,490,0.562,2021-08-22
SEA,67,58,0.536,10.0,523,585,0.449,2021-08-22
TOR,64,58,0.525,11.5,622,506,0.593,2021-08-22
CLE,61,61,0.5,14.5,536,555,0.484,2021-08-22
LAA,62,64,0.492,15.5,565,622,0.456,2021-08-22
DET,60,66,0.476,17.5,550,611,0.452,2021-08-22
KCR,55,68,0.447,21.0,508,603,0.422,2021-08-22
MIN,54,70,0.435,22.5,568,658,0.433,2021-08-22
TEX,43,80,0.35,33.0,465,609,0.379,2021-08-22
BAL,38,85,0.309,38.0,486,719,0.328,2021-08-22
SFG,80,44,0.645,--,603,461,0.62,2021-08-23
LAD,78,47,0.624,2.5,647,443,0.667,2021-08-23
MIL,76,49,0.608,4.5,584,467,0.601,2021-08-23
CIN,69,57,0.548,12.0,637,598,0.529,2021-08-23
SDP,69,58,0.543,12.5,597,516,0.566,2021-08-23
ATL,68,58,0.54,13.0,617,530,0.569,2021-08-23
STL,63,60,0.512,16.5,501,524,0.479,2021-08-23
PHI,63,61,0.508,17.0,553,575,0.482,2021-08-23
NYM,62,63,0.496,18.5,475,498,0.478,2021-08-23
COL,57,68,0.456,23.5,567,605,0.47,2021-08-23
CHC,55,72,0.433,26.5,523,623,0.421,2021-08-23
WSN,53,70,0.431,26.5,545,597,0.458,2021-08-23
MIA,51,75,0.405,30.0,504,540,0.468,2021-08-23
PIT,45,80,0.36,35.5,446,634,0.344,2021-08-23
ARI,42,84,0.333,39.0,529,700,0.375,2021-08-23
TBR,77,48,0.616,--,664,514,0.615,2021-08-23
HOU,73,52,0.584,4.0,673,495,0.637,2021-08-23
NYY,73,52,0.584,4.0,542,495,0.541,2021-08-23
CHW,72,54,0.571,5.5,618,492,0.603,2021-08-23
BOS,71,55,0.563,6.5,626,573,0.54,2021-08-23
OAK,70,56,0.556,7.5,564,495,0.559,2021-08-23
SEA,68,58,0.54,9.5,528,588,0.451,2021-08-23
TOR,65,58,0.528,11.0,624,507,0.594,2021-08-23
CLE,61,61,0.5,14.5,536,555,0.484,2021-08-23
LAA,62,64,0.492,15.5,565,622,0.456,2021-08-23
DET,60,66,0.476,17.5,550,611,0.452,2021-08-23
KCR,56,68,0.452,20.5,515,604,0.428,2021-08-23
MIN,54,70,0.435,22.5,568,658,0.433,2021-08-23
TEX,43,81,0.347,33.5,469,617,0.377,2021-08-23
BAL,38,85,0.309,38.0,486,719,0.328,2021-08-23
SFG,81,44,0.648,--,611,461,0.626,2021-08-24
LAD,79,47,0.627,2.5,652,445,0.668,2021-08-24
MIL,77,49,0.611,4.5,591,471,0.602,2021-08-24
CIN,69,58,0.543,13.0,641,605,0.526,2021-08-24
SDP,69,59,0.539,13.5,599,521,0.563,2021-08-24
ATL,68,59,0.535,14.0,621,535,0.568,2021-08-24
STL,63,61,0.508,17.5,504,528,0.479,2021-08-24
PHI,63,62,0.504,18.0,554,578,0.481,2021-08-24
NYM,62,64,0.492,19.5,475,506,0.471,2021-08-24
COL,57,68,0.456,24.0,567,605,0.47,2021-08-24
WSN,54,70,0.435,26.5,550,598,0.462,2021-08-24
CHC,55,72,0.433,27.0,523,623,0.421,2021-08-24
MIA,51,76,0.402,31.0,505,545,0.465,2021-08-24
PIT,46,80,0.365,35.5,450,636,0.347,2021-08-24
ARI,42,85,0.331,40.0,531,704,0.374,2021-08-24
TBR,78,48,0.619,--,667,515,0.616,2021-08-24
HOU,74,52,0.587,4.0,677,495,0.639,2021-08-24
NYY,74,52,0.587,4.0,547,499,0.542,2021-08-24
CHW,73,54,0.575,5.5,623,494,0.605,2021-08-24
BOS,72,55,0.567,6.5,637,582,0.541,2021-08-24
OAK,70,57,0.551,8.5,565,500,0.556,2021-08-24
SEA,69,58,0.543,9.5,533,589,0.454,2021-08-24
TOR,65,59,0.524,12.0,626,512,0.591,2021-08-24
CLE,61,62,0.496,15.5,539,562,0.481,2021-08-24
LAA,63,64,0.496,15.5,579,630,0.461,2021-08-24
DET,61,66,0.48,17.5,554,614,0.453,2021-08-24
KCR,56,69,0.448,21.5,515,608,0.425,2021-08-24
MIN,54,71,0.432,23.5,577,669,0.433,2021-08-24
TEX,44,81,0.352,33.5,476,620,0.381,2021-08-24
BAL,38,86,0.306,39.0,494,733,0.327,2021-08-24
SFG,82,44,0.651,--,614,463,0.626,2021-08-25
LAD,80,47,0.63,2.5,657,448,0.668,2021-08-25
MIL,78,49,0.614,4.5,595,472,0.604,2021-08-25
CIN,69,59,0.539,14.0,642,609,0.524,2021-08-25
SDP,69,60,0.535,14.5,602,526,0.561,2021-08-25
ATL,68,59,0.535,14.5,621,535,0.568,2021-08-25
STL,64,61,0.512,17.5,507,530,0.48,2021-08-25
PHI,63,63,0.5,19.0,558,585,0.478,2021-08-25
NYM,62,65,0.488,20.5,477,509,0.47,2021-08-25
COL,58,69,0.457,24.5,582,620,0.471,2021-08-25
CHC,56,73,0.434,27.5,538,638,0.423,2021-08-25
WSN,54,71,0.432,27.5,553,602,0.461,2021-08-25
MIA,52,76,0.406,31.0,509,548,0.466,2021-08-25
PIT,46,81,0.362,36.5,452,641,0.345,2021-08-25
ARI,43,85,0.336,40.0,536,706,0.377,2021-08-25
TBR,79,48,0.622,--,674,519,0.617,2021-08-25
HOU,75,52,0.591,4.0,683,500,0.639,2021-08-25
NYY,74,52,0.587,4.5,547,499,0.542,2021-08-25
CHW,73,55,0.57,6.5,624,497,0.603,2021-08-25
BOS,72,56,0.563,7.5,643,591,0.539,2021-08-25
OAK,70,57,0.551,9.0,565,500,0.556,2021-08-25
SEA,69,58,0.543,10.0,533,589,0.454,2021-08-25
TOR,66,59,0.528,12.0,629,513,0.592,2021-08-25
CLE,62,62,0.5,15.5,546,564,0.485,2021-08-25
LAA,63,65,0.492,16.5,585,640,0.459,2021-08-25
DET,61,67,0.477,18.5,556,617,0.453,2021-08-25
KCR,56,70,0.444,22.5,520,614,0.425,2021-08-25
MIN,55,71,0.437,23.5,586,675,0.436,2021-08-25
TEX,44,82,0.349,34.5,478,627,0.378,2021-08-25
BAL,39,86,0.312,39.0,504,739,0.332,2021-08-25
SFG,83,44,0.654,--,617,465,0.627,2021-08-26
LAD,81,47,0.633,2.5,661,448,0.671,2021-08-26
MIL,78,50,0.609,5.5,596,477,0.601,2021-08-26
CIN,70,59,0.543,14.0,647,610,0.527,2021-08-26
ATL,68,59,0.535,15.0,621,535,0.568,2021-08-26
SDP,69,61,0.531,15.5,602,530,0.558,2021-08-26
STL,64,62,0.508,18.5,514,541,0.477,2021-08-26
PHI,63,64,0.496,20.0,565,593,0.478,2021-08-26
NYM,62,66,0.484,21.5,479,512,0.47,2021-08-26
COL,58,69,0.457,25.0,582,620,0.471,2021-08-26
CHC,56,73,0.434,28.0,538,638,0.423,2021-08-26
WSN,54,72,0.429,28.5,558,609,0.46,2021-08-26
MIA,53,76,0.411,31.0,516,553,0.468,2021-08-26
PIT,47,81,0.367,36.5,463,648,0.351,2021-08-26
ARI,44,85,0.341,40.0,544,713,0.379,2021-08-26
TBR,79,48,0.622,--,674,519,0.617,2021-08-26
HOU,75,52,0.591,4.0,683,500,0.639,2021-08-26
NYY,75,52,0.591,4.0,554,505,0.542,2021-08-26
CHW,74,55,0.574,6.0,634,504,0.603,2021-08-26
BOS,73,56,0.566,7.0,655,593,0.545,2021-08-26
OAK,70,58,0.547,9.5,571,507,0.554,2021-08-26
SEA,69,59,0.539,10.5,537,595,0.453,2021-08-26
TOR,66,60,0.524,12.5,636,523,0.589,2021-08-26
CLE,63,62,0.504,15.0,556,570,0.489,2021-08-26
LAA,63,66,0.488,17.0,586,653,0.451,2021-08-26
DET,61,67,0.477,18.5,556,617,0.453,2021-08-26
KCR,57,70,0.449,22.0,526,618,0.427,2021-08-26
MIN,55,72,0.433,24.0,588,687,0.429,2021-08-26
TEX,44,83,0.346,35.0,484,637,0.377,2021-08-26
BAL,40,86,0.317,38.5,517,740,0.342,2021-08-26
SFG,83,45,0.648,--,622,471,0.625,2021-08-27
LAD,81,48,0.628,2.5,663,452,0.668,2021-08-27
MIL,78,51,0.605,5.5,596,479,0.599,2021-08-27
CIN,71,59,0.546,13.0,653,610,0.531,2021-08-27
ATL,69,59,0.539,14.0,627,540,0.568,2021-08-27
SDP,70,61,0.534,14.5,607,530,0.562,2021-08-27
STL,65,62,0.512,17.5,518,544,0.478,2021-08-27
PHI,64,64,0.5,19.0,572,599,0.479,2021-08-27
NYM,62,67,0.481,21.5,480,514,0.469,2021-08-27
COL,59,69,0.461,24.0,586,622,0.473,2021-08-27
WSN,55,72,0.433,27.5,560,610,0.461,2021-08-27
CHC,56,74,0.431,28.0,551,655,0.422,2021-08-27
MIA,53,77,0.408,31.0,516,559,0.463,2021-08-27
PIT,47,82,0.364,36.5,466,652,0.351,2021-08-27
ARI,44,86,0.338,40.0,550,720,0.379,2021-08-27
TBR,80,48,0.625,--,680,522,0.619,2021-08-27
HOU,76,52,0.594,4.0,688,504,0.639,2021-08-27
NYY,76,52,0.594,4.0,562,507,0.547,2021-08-27
CHW,75,55,0.577,6.0,651,517,0.604,2021-08-27
BOS,74,56,0.569,7.0,659,596,0.546,2021-08-27
OAK,70,59,0.543,10.5,573,515,0.549,2021-08-27
SEA,69,60,0.535,11.5,544,603,0.453,2021-08-27
TOR,66,61,0.52,13.5,637,525,0.588,2021-08-27
CLE,63,63,0.5,16.0,559,574,0.488,2021-08-27
LAA,63,67,0.485,18.0,586,658,0.447,2021-08-27
DET,62,67,0.481,18.5,558,618,0.453,2021-08-27
KCR,58,70,0.453,22.0,534,625,0.429,2021-08-27
MIN,56,72,0.438,24.0,590,687,0.431,2021-08-27
TEX,44,84,0.344,36.0,488,642,0.377,2021-08-27
BAL,40,87,0.315,39.5,520,746,0.341,2021-08-27
SFG,84,45,0.651,--,627,471,0.628,2021-08-28
LAD,82,48,0.631,2.5,668,454,0.67,2021-08-28
MIL,78,52,0.6,6.5,600,485,0.596,2021-08-28
CIN,71,60,0.542,14.0,654,616,0.527,2021-08-28
ATL,69,60,0.535,15.0,627,545,0.564,2021-08-28
SDP,70,62,0.53,15.5,609,540,0.555,2021-08-28
STL,66,62,0.516,17.5,531,544,0.489,2021-08-28
PHI,65,64,0.504,19.0,579,599,0.484,2021-08-28
NYM,63,67,0.485,21.5,485,517,0.471,2021-08-28
COL,59,70,0.457,25.0,588,627,0.471,2021-08-28
CHC,57,74,0.435,28.0,558,655,0.427,2021-08-28
WSN,55,73,0.43,28.5,563,615,0.46,2021-08-28
MIA,54,77,0.412,31.0,522,560,0.468,2021-08-28
PIT,47,83,0.362,37.5,466,665,0.343,2021-08-28
ARI,44,87,0.336,41.0,550,727,0.375,2021-08-28
TBR,81,48,0.628,--,684,525,0.619,2021-08-28
HOU,77,52,0.597,4.0,693,506,0.64,2021-08-28
NYY,76,53,0.589,5.0,564,510,0.546,2021-08-28
CHW,75,56,0.573,7.0,651,524,0.598,2021-08-28
BOS,75,56,0.573,7.0,664,599,0.547,2021-08-28
OAK,71,59,0.546,10.5,576,517,0.549,2021-08-28
SEA,69,61,0.531,12.5,546,607,0.452,2021-08-28
TOR,67,61,0.523,13.5,640,527,0.588,2021-08-28
CLE,63,64,0.496,17.0,562,579,0.486,2021-08-28
LAA,64,67,0.489,18.0,596,660,0.453,2021-08-28
DET,62,68,0.477,19.5,560,621,0.453,2021-08-28
KCR,59,70,0.457,22.0,538,627,0.43,2021-08-28
MIN,57,72,0.442,24.0,596,691,0.433,2021-08-28
TEX,44,85,0.341,37.0,490,647,0.376,2021-08-28
BAL,40,88,0.313,40.5,523,750,0.341,2021-08-28
SFG,84,46,0.646,--,627,480,0.62,2021-08-29
LAD,82,49,0.626,2.5,668,459,0.665,2021-08-29
MIL,79,52,0.603,5.5,606,487,0.599,2021-08-29
CIN,71,61,0.538,14.0,655,618,0.527,2021-08-29
ATL,70,60,0.538,14.0,636,545,0.57,2021-08-29
SDP,70,62,0.53,15.0,609,540,0.555,2021-08-29
STL,66,63,0.512,17.5,534,548,0.488,2021-08-29
PHI,66,64,0.508,18.0,586,603,0.487,2021-08-29
NYM,64,67,0.489,20.5,494,521,0.476,2021-08-29
COL,60,70,0.462,24.0,593,627,0.475,2021-08-29
CHC,57,75,0.432,28.0,559,668,0.419,2021-08-29
WSN,55,74,0.426,28.5,567,624,0.456,2021-08-29
MIA,55,77,0.417,30.0,524,561,0.469,2021-08-29
PIT,48,83,0.366,36.5,470,668,0.344,2021-08-29
ARI,44,88,0.333,41.0,554,734,0.374,2021-08-29
TBR,82,48,0.631,--,696,533,0.62,2021-08-29
HOU,77,53,0.592,5.0,695,519,0.631,2021-08-29
NYY,76,54,0.585,6.0,565,513,0.544,2021-08-29
CHW,76,56,0.576,7.0,664,525,0.606,2021-08-29
BOS,75,57,0.568,8.0,669,606,0.545,2021-08-29
OAK,72,59,0.55,10.5,579,518,0.551,2021-08-29
SEA,70,61,0.534,12.5,550,610,0.453,2021-08-29
TOR,68,61,0.527,13.5,642,528,0.588,2021-08-29
CLE,64,64,0.5,17.0,569,584,0.488,2021-08-29
LAA,64,67,0.489,18.5,596,660,0.453,2021-08-29
DET,62,69,0.473,20.5,561,623,0.452,2021-08-29
KCR,59,71,0.454,23.0,541,631,0.43,2021-08-29
MIN,57,73,0.438,25.0,598,697,0.43,2021-08-29
TEX,45,85,0.346,37.0,503,649,0.385,2021-08-29
BAL,40,89,0.31,41.5,531,762,0.341,2021-08-29
SFG,84,47,0.641,--,628,483,0.618,2021-08-30
LAD,83,49,0.629,1.5,673,462,0.666,2021-08-30
MIL,80,52,0.606,4.5,609,488,0.6,2021-08-30
CIN,71,62,0.534,14.0,656,621,0.525,2021-08-30
SDP,71,62,0.534,14.0,616,545,0.556,2021-08-30
ATL,70,61,0.534,14.0,639,550,0.568,2021-08-30
STL,67,63,0.515,16.5,537,549,0.49,2021-08-30
PHI,67,64,0.511,17.0,593,607,0.489,2021-08-30
NYM,64,67,0.489,20.0,494,521,0.476,2021-08-30
COL,60,71,0.458,24.0,596,631,0.474,2021-08-30
CHC,57,75,0.432,27.5,559,668,0.419,2021-08-30
WSN,55,75,0.423,28.5,571,631,0.454,2021-08-30
MIA,55,77,0.417,29.5,524,561,0.469,2021-08-30
PIT,48,83,0.366,36.0,470,668,0.344,2021-08-30
ARI,44,89,0.331,41.0,559,741,0.374,2021-08-30
TBR,83,48,0.634,--,702,534,0.623,2021-08-30
HOU,78,53,0.595,5.0,699,522,0.63,2021-08-30
NYY,76,55,0.58,7.0,572,521,0.543,2021-08-30
CHW,76,56,0.576,7.5,664,525,0.606,2021-08-30
BOS,75,58,0.564,9.0,670,612,0.541,2021-08-30
OAK,72,59,0.55,11.0,579,518,0.551,2021-08-30
SEA,70,62,0.53,13.5,553,614,0.452,2021-08-30
TOR,69,61,0.531,13.5,649,531,0.591,2021-08-30
CLE,64,64,0.5,17.5,569,584,0.488,2021-08-30
LAA,65,67,0.492,18.5,604,667,0.455,2021-08-30
DET,62,70,0.47,21.5,563,626,0.452,2021-08-30
KCR,59,71,0.454,23.5,541,631,0.43,2021-08-30
MIN,58,73,0.443,25.0,601,699,0.431,2021-08-30
TEX,46,85,0.351,37.0,507,652,0.387,2021-08-30
BAL,40,90,0.308,42.5,534,769,0.339,2021-08-30
SFG,84,48,0.636,--,630,489,0.614,2021-08-31
LAD,84,49,0.632,0.5,676,464,0.666,2021-08-31
MIL,81,52,0.609,3.5,615,490,0.602,2021-08-31
SDP,72,62,0.537,13.0,619,545,0.558,2021-08-31
CIN,71,62,0.534,13.5,656,621,0.525,2021-08-31
ATL,70,62,0.53,14.0,641,553,0.567,2021-08-31
PHI,68,64,0.515,16.0,605,613,0.494,2021-08-31
STL,67,63,0.515,16.0,537,549,0.49,2021-08-31
NYM,65,67,0.492,19.0,497,522,0.478,2021-08-31
COL,60,72,0.455,24.0,599,635,0.473,2021-08-31
CHC,58,75,0.436,26.5,562,669,0.421,2021-08-31
WSN,55,76,0.42,28.5,577,643,0.451,2021-08-31
MIA,55,78,0.414,29.5,525,564,0.467,2021-08-31
PIT,48,84,0.364,36.0,472,672,0.344,2021-08-31
ARI,44,90,0.328,41.0,559,744,0.372,2021-08-31
TBR,84,48,0.636,--,710,539,0.623,2021-08-31
HOU,78,54,0.591,6.0,699,526,0.627,2021-08-31
CHW,77,56,0.579,7.5,668,527,0.607,2021-08-31
NYY,76,56,0.576,8.0,576,527,0.541,2021-08-31
BOS,75,59,0.56,10.0,675,620,0.539,2021-08-31
OAK,73,59,0.553,11.0,588,521,0.555,2021-08-31
SEA,71,62,0.534,13.5,557,614,0.456,2021-08-31
TOR,69,62,0.527,14.5,651,535,0.589,2021-08-31
CLE,65,64,0.504,17.5,576,586,0.492,2021-08-31
LAA,66,67,0.496,18.5,610,671,0.457,2021-08-31
DET,62,71,0.466,22.5,566,635,0.448,2021-08-31
KCR,59,72,0.45,24.5,543,638,0.427,2021-08-31
MIN,58,74,0.439,26.0,602,702,0.43,2021-08-31
TEX,47,85,0.356,37.0,511,655,0.388,2021-08-31
BAL,41,90,0.313,42.5,538,771,0.341,2021-08-31
LAD,85,49,0.634,--,680,467,0.665,2021-09-01
SFG,84,49,0.632,0.5,632,494,0.611,2021-09-01
MIL,82,52,0.612,3.0,620,492,0.604,2021-09-01
CIN,72,63,0.533,13.5,672,628,0.531,2021-09-01
SDP,72,63,0.533,13.5,622,553,0.554,2021-09-01
ATL,70,63,0.526,14.5,644,557,0.566,2021-09-01
PHI,68,64,0.515,16.0,605,613,0.494,2021-09-01
STL,68,64,0.515,16.0,544,565,0.483,2021-09-01
NYM,65,67,0.492,19.0,497,522,0.478,2021-09-01
COL,61,72,0.459,23.5,608,640,0.477,2021-09-01
CHC,59,75,0.44,26.0,565,669,0.423,2021-09-01
WSN,55,76,0.42,28.5,577,643,0.451,2021-09-01
MIA,55,78,0.414,29.5,525,564,0.467,2021-09-01
PIT,48,85,0.361,36.5,475,678,0.343,2021-09-01
ARI,45,90,0.333,40.5,567,747,0.376,2021-09-01
TBR,84,49,0.632,--,712,542,0.622,2021-09-01
HOU,78,55,0.586,6.0,699,527,0.626,2021-09-01
CHW,78,56,0.582,6.5,674,530,0.608,2021-09-01
NYY,77,56,0.579,7.0,580,528,0.543,2021-09-01
BOS,76,59,0.563,9.0,678,622,0.539,2021-09-01
OAK,73,60,0.549,11.0,594,529,0.553,2021-09-01
SEA,72,62,0.537,12.5,558,614,0.456,2021-09-01
TOR,70,62,0.53,13.5,656,539,0.589,2021-09-01
CLE,66,64,0.508,16.5,581,589,0.494,2021-09-01
LAA,66,68,0.493,18.5,611,675,0.455,2021-09-01
DET,63,71,0.47,21.5,574,641,0.45,2021-09-01
KCR,59,73,0.447,24.5,546,643,0.426,2021-09-01
MIN,58,75,0.436,26.0,602,705,0.428,2021-09-01
TEX,47,86,0.353,37.0,516,664,0.387,2021-09-01
BAL,41,91,0.311,42.5,542,776,0.341,2021-09-01
SFG,85,49,0.634,--,637,495,0.613,2021-09-02
LAD,85,49,0.634,--,680,467,0.665,2021-09-02
MIL,82,53,0.607,3.5,621,497,0.601,2021-09-02
CIN,72,63,0.533,13.5,672,628,0.531,2021-09-02
SDP,72,63,0.533,13.5,622,553,0.554,2021-09-02
ATL,71,63,0.53,14.0,650,562,0.566,2021-09-02
PHI,69,64,0.519,15.5,612,619,0.495,2021-09-02
STL,68,64,0.515,16.0,544,565,0.483,2021-09-02
NYM,66,67,0.496,18.5,501,525,0.479,2021-09-02
COL,61,73,0.455,24.0,613,646,0.476,2021-09-02
CHC,60,75,0.444,25.5,571,674,0.425,2021-09-02
WSN,55,77,0.417,29.0,583,650,0.45,2021-09-02
MIA,55,79,0.41,30.0,528,568,0.467,2021-09-02
PIT,48,86,0.358,37.0,480,684,0.343,2021-09-02
ARI,45,90,0.333,40.5,567,747,0.376,2021-09-02
TBR,84,50,0.627,--,712,546,0.619,2021-09-02
HOU,78,55,0.586,5.5,699,527,0.626,2021-09-02
CHW,78,56,0.582,6.0,674,530,0.608,2021-09-02
NYY,77,56,0.579,6.5,580,528,0.543,2021-09-02
BOS,77,59,0.566,8.0,682,622,0.542,2021-09-02
OAK,74,60,0.552,10.0,602,535,0.554,2021-09-02
SEA,72,62,0.537,12.0,558,614,0.456,2021-09-02
TOR,70,62,0.53,13.0,656,539,0.589,2021-09-02
CLE,67,64,0.511,15.5,585,591,0.495,2021-09-02
LAA,66,68,0.493,18.0,611,675,0.455,2021-09-02
DET,63,72,0.467,21.5,580,649,0.449,2021-09-02
KCR,59,74,0.444,24.5,548,647,0.425,2021-09-02
MIN,58,75,0.436,25.5,602,705,0.428,2021-09-02
TEX,47,86,0.353,36.5,516,664,0.387,2021-09-02
BAL,41,91,0.311,42.0,542,776,0.341,2021-09-02
SFG,86,49,0.637,--,640,497,0.614,2021-09-03
LAD,85,50,0.63,1.0,682,470,0.664,2021-09-03
MIL,82,54,0.603,4.5,625,512,0.59,2021-09-03
CIN,72,64,0.529,14.5,677,643,0.524,2021-09-03
SDP,72,64,0.529,14.5,625,559,0.551,2021-09-03
ATL,71,64,0.526,15.0,653,566,0.565,2021-09-03
